2026-04-10 18:47:10 | OPTIONS | meus-planos-api/categorias/7
2026-04-10 18:47:10 | DELETE | meus-planos-api/categorias/7
2026-04-10 18:47:10 | GET | meus-planos-api/categorias
2026-04-10 18:47:11 | GET | meus-planos-api/itens
rias
2026-04-10 18:47:16 | OPTIONS | meus-planos-api/itens
2026-04-10 18:47:16 | POST | meus-planos-api/itens
2026-04-10 18:47:16 | GET | meus-planos-api/itens
2026-04-10 18:47:17 | OPTIONS | meus-planos-api/itens/11
2026-04-10 18:47:17 | DELETE | meus-planos-api/itens/11
2026-04-10 18:47:17 | GET | meus-planos-api/itens
2026-04-10 19:02:59 | GET | meus-planos-api
2026-04-10 19:03:10 | GET | meus-planos-api/index.html
2026-04-10 19:05:22 | GET | meus-planos-api
2026-04-10 19:05:29 | GET | meus-planos-api/index.html
2026-04-10 19:06:23 | GET | meus-planos-api
2026-04-10 19:06:29 | GET | meus-planos-api/categorias
2026-04-10 19:06:47 | GET | meus-planos-api/itens
2026-04-10 19:07:13 | GET | meus-planos-api
2026-04-10 19:07:19 | GET | meus-planos-api/itens.html
2026-04-10 19:26:15 | GET | meus-planos-api/categorias
2026-04-10 19:26:15 | GET | meus-planos-api/itens
2026-04-10 20:21:25 | GET | meus-planos-api
2026-04-10 20:21:49 | GET | meus-planos-api/categorias
2026-04-10 20:21:58 | GET | meus-planos-api/itens
2026-04-10 20:54:50 | GET | meus-planos-api/categorias
2026-04-10 20:54:56 | POST | meus-planos-api/categorias
2026-04-10 20:54:56 | POST | meus-planos-api/categorias
2026-04-10 20:54:56 | POST | meus-planos-api/categorias
2026-04-10 20:54:56 | POST | meus-planos-api/categorias
2026-04-10 20:54:56 | POST | meus-planos-api/categorias
2026-04-10 20:54:57 | POST | meus-planos-api/categorias
2026-04-10 20:54:57 | POST | meus-planos-api/categorias
2026-04-10 21:02:58 | GET | meus-planos-api/categorias
2026-04-10 21:03:02 | GET | meus-planos-api/itens
2026-04-10 21:03:02 | GET | meus-planos-api/categorias
2026-04-10 21:03:04 | GET | meus-planos-api/categorias
2026-04-10 21:03:09 | OPTIONS | meus-planos-api/categorias/13
2026-04-10 21:03:09 | DELETE | meus-planos-api/categorias/13
2026-04-10 21:03:09 | GET | meus-planos-api/categorias
2026-04-10 21:03:09 | OPTIONS | meus-planos-api/categorias/8
2026-04-10 21:03:09 | DELETE | meus-planos-api/categorias/8
2026-04-10 21:03:09 | GET | meus-planos-api/categorias
2026-04-10 21:03:09 | OPTIONS | meus-planos-api/categorias/9
2026-04-10 21:03:09 | DELETE | meus-planos-api/categorias/9
2026-04-10 21:03:09 | GET | meus-planos-api/categorias
2026-04-10 21:03:09 | OPTIONS | meus-planos-api/categorias/10
2026-04-10 21:03:09 | DELETE | meus-planos-api/categorias/10
2026-04-10 21:03:09 | GET | meus-planos-api/categorias
2026-04-10 21:03:10 | OPTIONS | meus-planos-api/categorias/11
2026-04-10 21:03:10 | DELETE | meus-planos-api/categorias/11
