07-04-2026 13:22:46 | GET | cafeteria-api/produtos
07-04-2026 13:22:52 | POST | cafeteria-api/produtos
07-04-2026 13:22:52 | GET | cafeteria-api/produtos
07-04-2026 13:22:54 | OPTIONS | cafeteria-api/produtos/21
07-04-2026 13:22:54 | DELETE | cafeteria-api/produtos/21
07-04-2026 13:22:54 | GET | cafeteria-api/produtos
07-04-2026 13:22:58 | POST | cafeteria-api/produtos
07-04-2026 13:22:58 | GET | cafeteria-api/produtos
07-04-2026 13:23:01 | OPTIONS | cafeteria-api/produtos/22
07-04-2026 13:23:01 | DELETE | cafeteria-api/produtos/22
07-04-2026 13:23:01 | GET | cafeteria-api/produtos
07-04-2026 13:23:05 | GET | cafeteria-api/categorias
07-04-2026 13:23:07 | POST | cafeteria-api/categorias
07-04-2026 13:23:07 | GET | cafeteria-api/categorias
07-04-2026 13:23:09 | OPTIONS | cafeteria-api/categorias/21
07-04-2026 13:23:09 | DELETE | cafeteria-api/categorias/21
07-04-2026 13:23:09 | GET | cafeteria-api/categorias
